标志,对话ID,人物ID,表情ID,名字,内容,跳转,出入场,效果
#,0,0,1,传书,……,1,In,Dumb Funk.wav|bi
#,1,0,3,传书,啊……弄洒了……,2,,
#,2,1,3,旦夕,传书，你怎么回事啊？,3,In,
#,3,0,3,传书,喔，没什么。,4,,
#,4,0,3,传书,……昨天晚上没睡好。,5,,
#,5,1,3,旦夕,你又没睡好了。,6,,
#,6,0,6,传书,我看你倒是每天睡得都很安稳。,7,,
#,7,1,2,旦夕,当然啦，我可没有什么可怕的经历让我噩梦缠身啊~,8,,
#,8,0,8,传书,失忆还给你优越感了是吧？,9,,
#,9,0,1,传书,……不过今天都没什么人来啊。,10,,
#,10,1,1,旦夕,没人就关店呗？就当放一天假了。,11,,
#,11,0,3,传书,那万一之后来人了怎么办？,12,,
#,12,1,3,旦夕,叫他明天来啊，少喝一杯咖啡会死吗？,13,,
#,13,0,3,传书,哪有你这么做生意的……,14,,
#,14,0,1,传书,这不就有人来了？,15,,FootStep.wav|mb
#,15,1,1,旦夕,咦，这不是昨天那个小女孩吗？,16,,
#,16,0,3,传书,啊……好像又不太一样？,17,,
#,17,12,1,？？？,……,18,In,
#,18,1,1,旦夕,小妹妹，你昨天怎么突然跑了？找到外婆了吗？,19,,
#,19,12,1,？？？,啊，我就知道……,20,,
#,20,12,1,？？？,你们昨天是见到布兰妮了吧？因为一些意外，让她一个人跑出来了。,21,,
#,21,12,1,？？？,她在晚上看不见东西，所以应该会很害怕。,22,,
#,22,12,2,？？？,啧……还因为这个把另一个危险的家伙也带出来了，害得我全身都疼……,23,,
#,23,12,1,？？？,总之，如果他们两个给你惹了什么麻烦，我替他们道歉。,24,,
#,24,0,3,传书,危险的家伙？这到底怎么回事？,25,,
#,25,12,2,？？？,人类，说话请注意一点。起码你应该听说过多重人格吧？,26,,
#,26,12,2,？？？,哼，本来还想来尝尝大名远扬的房车咖啡店味道怎么样，居然有一位人类员工……,27,,
#,27,0,3,传书,其实我才是店长……旁边那个是吉祥物。,28,,
#,28,1,3,旦夕,？,29,,
#,29,12,2,？？？,什么？这么大的雷点居然提都不提……啧。,30,,
#,30,0,1,传书,您对人类有什么意见？,31,,
#,31,12,2,？？？,看来你对人类的立场没有什么自知之明，说到底，我现在这样也都是你们人类的原因。,32,,
#,32,12,2,？？？,本来我的工作就很忙，还时不时会被其他人格占用时间……,33,,
#,33,0,3,传书,可是……这跟我又有什么关系？我甚至都不认识您。,34,,
#,34,12,1,？？？,算了……我只不过是在无差别地对人类发泄我的不满而已。,35,,
#,35,12,1,？？？,通常人类都看不见我，我对他们大骂一通也不会有什么反应。,36,,
#,36,12,1,？？？,总之，我是一名导演，这是我的名片。,37,,
#,37,12,1,莱德,我最近发现，咖啡在一定程度上可以起到抑制其他人格浮现的作用，顺便还能提高我的工作效率。,38,,RedIDCard.png|cb
#,38,12,1,莱德,所以现在，给我一杯凯撒拿铁。,39,,RedIDCard.png|ca
#,39,0,2,传书,好的，只要您不嫌弃就行。,40,,
#,40,1,2,旦夕,传书店员，快去工作！,41,,
#,41,0,8,传书,我建议你说话注意一点。,42,,
$,42,13,,,,43,,
#,43,0,2,传书,您的拿铁好了，请慢用。,44,,
#,44,12,1,莱德,嗯。,45,,
#,45,12,1,莱德,……跟我以前喝过的凯撒不太一样啊。,46,,DrinkCoffee.wav|mb
#,46,12,1,莱德,不过，味道倒也不错，还挺有特色。,47,,
#,47,0,2,传书,谢谢。,48,,
#,48,12,1,莱德,但作为你们店的特调，也没有传闻中那么好喝……,49,,
#,49,0,4,传书,其实凯撒和魑魅是前几天才上架的试做新品，您听到的传闻估计是本店的经典美式和拿铁……,50,,
#,50,12,2,莱德,啊？你怎么不早说？,51,,
#,51,0,4,传书,不过是采用人类的咖啡豆制成的。,52,,
#,52,12,1,莱德,那、那算了……,53,,
#,53,12,1,莱德,……我下次再来试试。,54,,
#,54,12,1,莱德,就这样吧，至少这趟不算白来。,55,,
#,55,12,1,莱德,,56,Out,
#,56,0,2,传书,您慢走。,57,,
#,57,1,1,旦夕,哈，原来还真有敌视人类的妖怪啊。,58,,
#,58,0,1,传书,其实也不至于敌视吧，虽然我不知道莱德小姐身上到底发生了什么……,59,,
#,59,1,1,旦夕,喂，传书，你当时打算来这里开咖啡店的时候，就没有想过要是所有妖怪都不待见人类该怎么办吗？,60,,
#,60,0,7,传书,……我还真没想过……,61,,
#,61,0,7,传书,也可能就是怀着赌一把的心态吧，我当时……,62,,
#,62,,,,传书在继续说下去时突然停住了。,63,,
#,63,,,,“我当时别无选择”，她本想这么说。,64,,
#,64,,,,却马上发现这只不过是一个借口，她一直都有得选。,65,,
#,65,,,,无论是三年前的意外，还是现在这家咖啡店，都是她自己的选择。,66,,
#,66,1,3,旦夕,当时什么？,67,,
#,67,0,3,传书,不，没什么。,68,,
#,68,2,1,索骥,传书，好久不见啊。,69,In,FootStep.wav|mb
#,69,0,2,传书,索骥先生，晚上好。,70,,
#,70,0,2,传书,确实已经有几天没见您了。,71,,
#,71,2,1,索骥,今天是那两个小子出门的日子，鄙人想着送送他们，就请了个假。,72,,
#,72,2,1,索骥,这才有机会来这里聊聊天。,73,,
#,73,0,2,传书,麻烦您替我祝他们好运。,74,,
#,74,2,7,索骥,哈哈，那鄙人也代他们谢谢你了。,75,,
#,75,2,7,索骥,喔？看来鄙人先前送的咖啡豆派上用场了。,76,,
#,76,0,2,传书,是啊，我正想再次感谢您呢，您想尝尝吗，我请客。,77,,
#,77,2,7,索骥,不用了，我还是老样子喝冰美式吧。,78,,
#,78,2,1,索骥,那个味道鄙人喝得惯，就不太想尝试新的了。,79,,
#,79,0,2,传书,好的，您说了算。,80,,
$,80,3,,,,81,,
#,81,0,2,传书,您的冰美式。,82,,
#,82,2,1,索骥,喔，有一阵子没喝到了，还真有点怀念。,83,,
#,83,0,2,传书,我猜您今天来也不仅仅是来喝咖啡的吧？,84,,
#,84,2,7,索骥,哈哈，听到你这么说鄙人也就放心了。,85,,
#,85,2,1,索骥,上次和你聊了赫密士的天使和恶魔之后，鄙人回去又翻了翻资讯。,86,,
#,86,2,5,索骥,发现天使和恶魔之间好像的确不是那么简单就能概括。,87,,
#,87,2,5,索骥,鄙人越看越觉得，之前认为的那些信息可能都是媒体用来隐瞒的假象……,88,,
#,88,2,8,索骥,不过，在鄙人想办法弄清楚之前，我们可以先来聊一聊诺希斯。,89,,
#,89,0,1,传书,喔……,90,,
#,90,0,3,传书,<size=70%>其实如果要知道赫密士的内情，或许问Brain是最直接的……</size>,91,,
#,91,0,3,传书,<size=70%>但……真不想拜托他什么。谁知道他会想出什么鬼主意。</size>,92,,
*,92,,,,5241=243^93|5241=273^95,,,
#,93,0,3,传书,<size=70%>至于诺希斯，上次跟那位伥仔博士有过一些交流。</size>,94,,
#,94,0,3,传书,<size=70%>可是他说得太模棱两可，也没什么有参考价值的信息……</size>,95,,
#,95,2,1,索骥,诺希斯虽然神秘，但有一点还是可以确定的。诺希斯的一切妖怪，都起源于一个叫做“<color=#FFCC00>乌洛塔罗斯</color>”的存在。,96,,
#,96,2,1,索骥,虽然现在北诺希斯是整个国家的经济中心，但一般认为南诺希斯才是真正的发源地。,97,,
#,97,2,1,索骥,乌洛塔罗斯也是从南诺希斯开始发展的。,98,,
#,98,2,1,索骥,不过他们的运作方式……有点奇怪。,99,,
#,99,2,8,索骥,呃，乌洛塔罗斯通过某种方式用她的力量创造出了其他一类妖怪，被称为“移涌”。,100,,
#,100,2,8,索骥,然后这个“移涌”又会通过某种方式创造出，被称为“造匠”的，新的一类妖怪。,101,,
#,101,2,8,索骥,再往下似乎还有更多……例如“执政”之类的存在。,102,,
#,102,2,8,索骥,他们还有一个什么……域之类的东西，会隔绝“移涌”和“移涌”以下的妖怪。,103,,
#,103,2,1,索骥,这简直是明摆着的阶级分化啊。,104,,
#,104,0,3,传书,抱歉打断您，您知道“索菲亚的注目”吗？,105,,
#,105,2,5,索骥,什么？鄙人好像没有听清……,106,,
#,106,0,4,传书,啊，没、没事……,107,,
#,107,0,1,传书,也就是说，诺希斯的妖怪就像一个金字塔一样，从一往下越分越多，并且层级越来越低？,108,,
#,108,2,8,索骥,金字塔？这是某种人类的建筑物吗？描述倒是没说错……,109,,
#,109,2,1,索骥,不过有消息透露说，诺希斯妖怪层级间似乎不太和睦。,110,,
